subject,category,ks2sub,U,G,F,E,D,C,B,A,A*
Art,disadvantaged,W,2,2,9,6,6,11,0,0,0
Art,disadvantaged,1,2,28,49,66,56,54,15,2,0
Art,disadvantaged,2,58,226,400,590,690,711,185,36,12
Art,disadvantaged,3c,37,92,212,329,515,632,138,28,6
Art,disadvantaged,3b,62,169,342,629,984,1427,392,86,15
Art,disadvantaged,3a,43,116,246,388,703,1185,384,97,25
Art,disadvantaged,4c,65,161,406,664,1376,2656,939,256,96
Art,disadvantaged,4b,81,191,463,830,1815,4146,2006,674,247
Art,disadvantaged,4a,30,60,138,267,655,1751,1183,497,186
Art,disadvantaged,5c,19,38,93,226,521,1598,1317,698,268
Art,disadvantaged,5b,7,10,29,60,207,678,767,578,333
Art,disadvantaged,5a,0,2,0,0,2,8,22,16,27
Biology,disadvantaged,W,2,2,0,0,0,0,0,0,0
Biology,disadvantaged,1,2,0,2,0,0,0,0,0,0
Biology,disadvantaged,2,23,7,7,10,9,8,5,2,2
Biology,disadvantaged,3c,18,14,9,7,2,7,0,2,0
Biology,disadvantaged,3b,28,18,26,20,25,24,16,2,2
Biology,disadvantaged,3a,10,6,17,34,48,50,16,2,2
Biology,disadvantaged,4c,19,22,27,80,180,215,107,36,3
Biology,disadvantaged,4b,25,22,63,158,578,966,635,240,21
Biology,disadvantaged,4a,5,12,25,89,384,908,912,388,56
Biology,disadvantaged,5c,9,13,16,75,438,1284,1719,1152,235
Biology,disadvantaged,5b,2,2,3,22,159,746,1333,1395,600
Biology,disadvantaged,5a,0,0,0,0,2,2,35,72,82
Business Studies,disadvantaged,W,2,2,2,0,0,0,0,0,0
Business Studies,disadvantaged,1,0,5,2,2,0,2,0,0,0
Business Studies,disadvantaged,2,45,61,48,19,24,15,2,2,0
Business Studies,disadvantaged,3c,42,51,63,47,29,2,2,0,0
Business Studies,disadvantaged,3b,85,160,158,139,113,45,2,2,0
Business Studies,disadvantaged,3a,58,111,161,180,170,108,32,2,2
Business Studies,disadvantaged,4c,101,157,313,382,485,346,122,27,0
Business Studies,disadvantaged,4b,80,177,380,662,990,1111,570,135,10
Business Studies,disadvantaged,4a,29,45,116,263,476,682,486,150,18
Business Studies,disadvantaged,5c,17,34,52,151,408,695,811,347,45
Business Studies,disadvantaged,5b,4,8,18,44,124,273,498,395,96
Business Studies,disadvantaged,5a,0,0,0,0,0,0,12,18,6
Chemistry,disadvantaged,W,0,0,0,0,0,0,0,0,0
Chemistry,disadvantaged,1,0,0,0,0,0,0,0,0,0
Chemistry,disadvantaged,2,2,2,3,2,6,7,6,4,2
Chemistry,disadvantaged,3c,2,0,5,4,5,7,2,2,0
Chemistry,disadvantaged,3b,2,2,11,19,22,25,10,8,0
Chemistry,disadvantaged,3a,3,2,12,17,38,51,18,3,2
Chemistry,disadvantaged,4c,10,5,17,71,154,190,110,41,6
Chemistry,disadvantaged,4b,16,14,31,151,544,920,636,227,38
Chemistry,disadvantaged,4a,6,10,27,89,375,900,829,400,90
Chemistry,disadvantaged,5c,9,12,22,89,429,1272,1652,1089,312
Chemistry,disadvantaged,5b,2,2,12,28,188,717,1288,1328,656
Chemistry,disadvantaged,5a,0,0,0,2,2,7,33,71,83
Drama,disadvantaged,W,0,0,0,2,2,0,2,0,0
Drama,disadvantaged,1,4,12,2,6,3,2,2,0,0
Drama,disadvantaged,2,50,81,135,181,160,68,2,2,0
Drama,disadvantaged,3c,29,36,107,120,143,91,26,5,0
Drama,disadvantaged,3b,33,76,154,282,385,244,94,18,0
Drama,disadvantaged,3a,2,41,97,178,328,283,110,15,2
Drama,disadvantaged,4c,27,69,174,399,648,660,306,88,10
Drama,disadvantaged,4b,39,60,163,448,1017,1297,800,259,32
Drama,disadvantaged,4a,8,25,36,139,405,608,516,238,39
Drama,disadvantaged,5c,3,11,31,115,315,600,625,351,67
Drama,disadvantaged,5b,2,2,11,24,87,274,412,312,86
Drama,disadvantaged,5a,0,0,0,0,2,2,18,14,8
Computer Science,disadvantaged,W,0,0,0,0,2,0,0,0,0
Computer Science,disadvantaged,1,2,0,0,0,0,0,0,0,0
Computer Science,disadvantaged,2,30,9,12,8,16,5,2,0,2
Computer Science,disadvantaged,3c,14,14,10,21,14,2,2,0,0
Computer Science,disadvantaged,3b,42,33,31,37,44,16,2,2,0
Computer Science,disadvantaged,3a,20,29,37,51,44,34,2,2,0
Computer Science,disadvantaged,4c,59,56,72,119,127,109,47,2,2
Computer Science,disadvantaged,4b,95,91,142,223,330,370,162,44,8
Computer Science,disadvantaged,4a,28,36,67,101,214,267,182,57,7
Computer Science,disadvantaged,5c,21,38,55,98,234,355,326,168,36
Computer Science,disadvantaged,5b,6,10,21,39,97,208,269,213,75
Computer Science,disadvantaged,5a,0,0,0,0,2,2,10,9,9
Core Science,disadvantaged,W,3,8,11,6,3,2,2,0,0
Core Science,disadvantaged,1,40,79,82,29,18,2,2,0,0
